Gioia Sannitica comune,Gioia Sannitica comune.1
,
Gioia Sannitica – VedutaGioia Centro,Gioia Sannitica – VedutaGioia Centro
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,Vicesindaco Carmine Porto (lista civica Uniamo Gioia) dal 12-11-2025
Territorio,Territorio
Coordinate,41°18′N 14°27′E
Altitudine,275 m s.l.m.
Superficie,"54,42 km²"
Abitanti,3 212[1] (30-11-2025)
Densità,"59,02 ab./km²"
Frazioni,"Auduni, Calvisi, Carattano, Caselle, Criscia, Curti, Madonna del Bagno, Tora, Uzzi, Fattori"
Comuni confinanti,"Alife, Alvignano, Cusano Mutri (BN), Faicchio (BN), Ruviano, San Potito Sannitico"
Altre informazioni,Altre informazioni
Cod. postale,81010
Prefisso,0823
Fuso orario,UTC+1
Codice ISTAT,061041
Cod. catastale,E039
Targa,CE
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 598 GG[3]"
Nome abitanti,gioiesi
Patrono,San Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Gioia Sannitica,Gioia Sannitica
Gioia Sannitica – MappaPosizione del comune di Gioia Sannitica nella provincia di Caserta,Gioia Sannitica – MappaPosizione del comune di Gioia Sannitica nella provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
