Casagiove comune,Casagiove comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,Giuseppe Vozza (lista civica Casagiove Coraggiosa) dal 22-9-2020
Territorio,Territorio
Coordinate,41°04′32.52″N 14°18′30.96″E
Altitudine,55 m s.l.m.
Superficie,"6,36 km²"
Abitanti,12 810[1] (30-11-2025)
Densità,"2 014,15 ab./km²"
Comuni confinanti,"Casapulla, Caserta, Macerata Campania, Recale, San Nicola la Strada, San Prisco"
Altre informazioni,Altre informazioni
Cod. postale,81022
Prefisso,0823
Fuso orario,UTC+1
Codice ISTAT,061018
Cod. catastale,B860
Targa,CE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 942 GG[3]"
Nome abitanti,casagiovesi
Patrono,san Michele
Giorno festivo,29 settembre
Cartografia,Cartografia
Casagiove,Casagiove
Casagiove – MappaPosizione del comune di Casagiove nella provincia di Caserta,Casagiove – MappaPosizione del comune di Casagiove nella provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
