Sant'Arpino comune,Sant'Arpino comune.1
,
Sant'Arpino – VedutaChiesa di San Francesco di Paola di Sant'Arpino,Sant'Arpino – VedutaChiesa di San Francesco di Paola di Sant'Arpino
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,Ernesto Di Mattia (lista civica Risorgimento atellano) dal 4-10-2021
Territorio,Territorio
Coordinate,40°57′27″N 14°14′57″E
Altitudine,43 m s.l.m.
Superficie,"3,2 km²"
Abitanti,15 556[1] (30-11-2025)
Densità,"4 861,25 ab./km²"
Frazioni,Borgo Maddalena
Comuni confinanti,"Cesa, Frattamaggiore (NA), Frattaminore (NA), Grumo Nevano (NA), Orta di Atella, Sant'Antimo (NA), Succivo"
Altre informazioni,Altre informazioni
Cod. postale,81030
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,061087
Cod. catastale,I306
Targa,CE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 207 GG[3]"
Nome abitanti,santarpinesi
Patrono,sant'Elpidio Vescovo
Giorno festivo,24 maggio
Cartografia,Cartografia
Sant'Arpino,Sant'Arpino
Sant'Arpino – MappaPosizione del comune di Sant'Arpino nella provincia di Caserta,Sant'Arpino – MappaPosizione del comune di Sant'Arpino nella provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
