San Gregorio Matese comune,San Gregorio Matese comune.1
,
San Gregorio Matese – VedutaVeduta del municipio,San Gregorio Matese – VedutaVeduta del municipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,Giuseppe Carmine Mallardo (lista civica) dal 6-5-2012 (3º mandato dal 13-6-2022)
Territorio,Territorio
Coordinate,41°23′N 14°22′E
Altitudine,765 m s.l.m.
Superficie,"56,51 km²"
Abitanti,843[1] (30-11-2025)
Densità,"14,92 ab./km²"
Comuni confinanti,"Bojano (CB), Campochiaro (CB), Castello del Matese, Letino, Piedimonte Matese, Raviscanina, Roccamandolfi (IS), San Massimo (CB), San Polo Matese (CB), Sant'Angelo d'Alife, Valle Agricola"
Altre informazioni,Altre informazioni
Cod. postale,81010
Prefisso,0823
Fuso orario,UTC+1
Codice ISTAT,061076
Cod. catastale,H939
Targa,CE
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 293 GG[3]"
Nome abitanti,sarrocchi[4]
Patrono,san Gregorio Magno
Giorno festivo,prima domenica di agosto
Cartografia,Cartografia
San Gregorio Matese,San Gregorio Matese
San Gregorio Matese – MappaPosizione del comune di San Gregorio Matese nella provincia di Caserta,San Gregorio Matese – MappaPosizione del comune di San Gregorio Matese nella provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
