Conca della Campania comune,Conca della Campania comune.1
,
Conca della Campania – Veduta,Conca della Campania – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,David Simone (Risolleviamo Conca) dal 27-5-2019
Territorio,Territorio
Coordinate,41°20′N 13°59′E
Altitudine,420 m s.l.m.
Superficie,"26,47 km²"
Abitanti,1 124[1] (30-11-2025)
Densità,"42,46 ab./km²"
Frazioni,"Catailli, Cave, Orchi, Piantoli, Pisciariello, Potete, Tuoripunzoli, Vallecardi, Vezzara"
Comuni confinanti,"Galluccio, Marzano Appio, Mignano Monte Lungo, Presenzano, Roccamonfina, Tora e Piccilli"
Altre informazioni,Altre informazioni
Cod. postale,81044
Prefisso,0823
Fuso orario,UTC+1
Codice ISTAT,061031
Cod. catastale,C939
Targa,CE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 892 GG[3]"
Nome abitanti,concani o concanesi
Patrono,san Sebastiano - Maria SS. della Libera
Giorno festivo,20 gennaio - prima domenica di settembre
Cartografia,Cartografia
Conca della Campania,Conca della Campania
Conca della Campania – MappaPosizione del comune di Conca della Campania nella provincia di Caserta,Conca della Campania – MappaPosizione del comune di Conca della Campania nella provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
