Letino comune,Letino comune.1
,
Letino – Veduta,Letino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,Pasquale Orsi (Vita Nova) dal 10-6-2018
Territorio,Territorio
Coordinate,41°27′N 14°15′E
Altitudine,961 m s.l.m.
Superficie,"31,59 km²"
Abitanti,610[1] (30-11-2025)
Densità,"19,31 ab./km²"
Comuni confinanti,"Gallo Matese, Prata Sannita, Roccamandolfi (IS), San Gregorio Matese, Valle Agricola"
Altre informazioni,Altre informazioni
Cod. postale,81010
Prefisso,0823
Fuso orario,UTC+1
Codice ISTAT,061044
Cod. catastale,E554
Targa,CE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 908 GG[3]"
Nome abitanti,letinesi
Patrono,san Giovanni Battista
Giorno festivo,29 agosto
Cartografia,Cartografia
Letino,Letino
Letino – MappaPosizione del comune di Letino nella provincia di Caserta,Letino – MappaPosizione del comune di Letino nella provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
