Sant'Angelo d'Alife comune,Sant'Angelo d'Alife comune.1
,
Sant'Angelo d'Alife – VedutaScorcio del centro storico,Sant'Angelo d'Alife – VedutaScorcio del centro storico
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,Michele Caporaso (lista civica Il paese che vogliamo) dal 2018
Territorio,Territorio
Coordinate,41°22′N 14°16′E
Altitudine,385 m s.l.m.
Superficie,"33,52 km²"
Abitanti,2 056[1] (30-11-2025)
Densità,"61,34 ab./km²"
Comuni confinanti,"Alife, Baia e Latina, Piedimonte Matese, Pietravairano, Raviscanina, San Gregorio Matese, Valle Agricola"
Altre informazioni,Altre informazioni
Cod. postale,81017
Prefisso,0823
Fuso orario,UTC+1
Codice ISTAT,061086
Cod. catastale,I273
Targa,CE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 821 GG[3]"
Nome abitanti,santangiolesi
Patrono,San Michele Arcangelo
Giorno festivo,8 maggio
Cartografia,Cartografia
Sant'Angelo d'Alife,Sant'Angelo d'Alife
Sant'Angelo d'Alife – MappaPosizione del comune di Sant'Angelo d'Alife nella provincia di Caserta,Sant'Angelo d'Alife – MappaPosizione del comune di Sant'Angelo d'Alife nella provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
