Liberi comune,Liberi comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,Alfonso Ricciardi (lista civica Liberi di guardare avanti) dal 13-6-2022
Territorio,Territorio
Coordinate,41°13′N 14°17′E
Altitudine,470 m s.l.m.
Superficie,"17,59 km²"
Abitanti,1 012[1] (30-11-2025)
Densità,"57,53 ab./km²"
Frazioni,"Cese, Merangeli, Profeti, San Pietro, Veccia, Villa"
Comuni confinanti,"Alvignano, Caiazzo, Castel di Sasso, Dragoni, Pontelatone, Roccaromana"
Altre informazioni,Altre informazioni
Cod. postale,81040
Prefisso,0823
Fuso orario,UTC+1
Codice ISTAT,061045
Cod. catastale,E570
Targa,CE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 994 GG[3]"
Nome abitanti,liberini
Patrono,sant'Anselmo d'Aosta
Giorno festivo,21 aprile
Cartografia,Cartografia
Liberi,Liberi
Liberi – MappaPosizione del comune di Liberi nella provincia di Caserta,Liberi – MappaPosizione del comune di Liberi nella provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
