Aversa comune,Aversa comune.1
,
Aversa – VedutaL'Arco della Annunziata simbolo della città di Aversa,Aversa – VedutaL'Arco della Annunziata simbolo della città di Aversa
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,Francesco Matacena (Indipendente di centro) dal 24-6-2024
Data di istituzione,1030 circa[1]
Territorio,Territorio
Coordinate,40°58′22.92″N 14°12′23.31″E
Altitudine,39[2][3] m s.l.m.
Superficie,"8,85 km²"
Abitanti,48 908[4] (30-11-2025)
Densità,"5 526,33 ab./km²"
Frazioni,"Borgo San Lorenzo, Lemitone, Ponte Mezzotta[5]"
Comuni confinanti,"Carinaro, Casaluce, Cesa, Frignano, Giugliano in Campania (NA), Gricignano di Aversa, Lusciano, San Marcellino, Sant'Antimo (NA), Teverola, Trentola Ducenta"
Altre informazioni,Altre informazioni
Cod. postale,81031
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,061005
Cod. catastale,A512
Targa,CE
Cl. sismica,zona 2 (sismicità media)[6]
Cl. climatica,"zona C, 1 119 GG[7]"
Nome abitanti,aversani
Patrono,san Paolo[8]
Giorno festivo,25 gennaio[8]
Soprannome,città dalle cento chiese
Motto,"(LA) Qui sub ingesta iacuit basiliscus Harena, invictum liber protulit ille caput (IT) Il Basilisco che giacque sull'arena, libero risollevò il capo invitto"
Cartografia,Cartografia
Aversa,Aversa
Aversa – MappaPosizione del comune di Aversa nella provincia di Caserta,Aversa – MappaPosizione del comune di Aversa nella provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
