Rocca d'Evandro comune,Rocca d'Evandro comune.1
,
Rocca d'Evandro – Veduta,Rocca d'Evandro – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,"Emilia Delli Colli (Lista civica ""Esperienza - Legalita - Innovazione"") dal 09-06-2024"
Territorio,Territorio
Coordinate,41°22′27.77″N 13°54′25.61″E
Altitudine,83 m s.l.m.
Superficie,"49,54 km²"
Abitanti,2 933[1] (30-11-2025)
Densità,"59,2 ab./km²"
Frazioni,"Bivio Mortola, Camino, Campolongo, Casamarina, Centro Storico, Cocuruzzo, Mortola, Vallevona"
Comuni confinanti,"Cassino (FR), Castelforte (LT), Galluccio, Mignano Monte Lungo, San Vittore del Lazio (FR), Sant'Ambrogio sul Garigliano (FR), Sant'Andrea del Garigliano (FR), Sant'Apollinare (FR), Sessa Aurunca"
Altre informazioni,Altre informazioni
Cod. postale,81040
Prefisso,0823
Fuso orario,UTC+1
Codice ISTAT,061069
Cod. catastale,H398
Targa,CE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 466 GG[3]"
Nome abitanti,roccavandresi
Patrono,san Rocco
Giorno festivo,8 maggio
Cartografia,Cartografia
Rocca d'Evandro,Rocca d'Evandro
Rocca d'Evandro – MappaPosizione del comune di Rocca d'Evandro nella provincia di Caserta,Rocca d'Evandro – MappaPosizione del comune di Rocca d'Evandro nella provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
