San Marcellino comune,San Marcellino comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,Anacleto Colombiano (Lista civica Libera Mente per San Marcellino) dal 6-6-2016 (2º mandato dal 18-10-2021)
Territorio,Territorio
Coordinate,40°59′15.38″N 14°10′25.66″E
Altitudine,36 m s.l.m.
Superficie,"4,61 km²"
Abitanti,14 738[1] (30-11-2025)
Densità,"3 196,96 ab./km²"
Comuni confinanti,"Aversa, Casapesenna, Frignano, Trentola Ducenta, Villa di Briano"
Altre informazioni,Altre informazioni
Cod. postale,81030
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,061077
Cod. catastale,H978
Targa,CE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 113 GG[3]"
Nome abitanti,sammarcellinesi
Patrono,san Marcellino
Giorno festivo,2 giugno
Cartografia,Cartografia
San Marcellino,San Marcellino
San Marcellino – MappaPosizione del comune di San Marcellino nella provincia di Caserta,San Marcellino – MappaPosizione del comune di San Marcellino nella provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
