Pietramelara comune,Pietramelara comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,Pasquale Di Fruscio (lista civica Per Pietramelara) dall'11-6-2017
Territorio,Territorio
Coordinate,41°16′N 14°11′E
Altitudine,132 m s.l.m.
Superficie,"23,93 km²"
Abitanti,4 450[1] (30-11-2025)
Densità,"185,96 ab./km²"
Comuni confinanti,"Formicola, Pietravairano, Riardo, Roccaromana, Rocchetta e Croce"
Altre informazioni,Altre informazioni
Cod. postale,81051
Prefisso,0823
Fuso orario,UTC+1
Codice ISTAT,061058
Cod. catastale,G620
Targa,CE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 308 GG[3]"
Nome abitanti,pietramelaresi
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Pietramelara,Pietramelara
Pietramelara – MappaPosizione del comune di Pietramelara nella provincia di Caserta,Pietramelara – MappaPosizione del comune di Pietramelara nella provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
