Rocchetta e Croce comune,Rocchetta e Croce comune.1
,
Rocchetta e Croce – Veduta,Rocchetta e Croce – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,Salvatore Geremia (lista civica Costruire insieme) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,41°14′13.78″N 14°09′27.54″E
Altitudine,459 m s.l.m.
Superficie,"13,01 km²"
Abitanti,438[1] (30-11-2025)
Densità,"33,67 ab./km²"
Frazioni,"Croce, Rocchetta (sede comunale), Valdassano"
Comuni confinanti,"Calvi Risorta, Formicola, Giano Vetusto, Pietramelara, Riardo, Teano"
Altre informazioni,Altre informazioni
Cod. postale,81042
Prefisso,0823
Fuso orario,UTC+1
Codice ISTAT,061072
Cod. catastale,H459
Targa,CE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 972 GG[3]"
Nome abitanti,Rocchettani
Patrono,san Vito
Giorno festivo,1º settembre
Cartografia,Cartografia
Rocchetta e Croce,Rocchetta e Croce
Rocchetta e Croce – MappaPosizione del comune di Rocchetta e Croce nella provincia di Caserta,Rocchetta e Croce – MappaPosizione del comune di Rocchetta e Croce nella provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
