Cancello ed Arnone comune,Cancello ed Arnone comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,Raffaele Ambrosca (La scelta) dal 10-6-2018
Territorio,Territorio
Coordinate,41°04′24.24″N 14°01′31.51″E
Altitudine,−1 m s.l.m.
Superficie,"49,3 km²"
Abitanti,5 776[1] (30-11-2025)
Densità,"117,16 ab./km²"
Comuni confinanti,"Carinola, Casal di Principe, Castel Volturno, Falciano del Massico, Grazzanise, Mondragone, Villa Literno"
Altre informazioni,Altre informazioni
Cod. postale,81030
Prefisso,0823
Fuso orario,UTC+1
Codice ISTAT,061012
Cod. catastale,B581
Targa,CE
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona C, 1 134 GG[3]"
Nome abitanti,cancellesi o arnonesi
Patrono,san Francesco d'Assisi santo Stefano
Giorno festivo,4 ottobre/3 agosto
Cartografia,Cartografia
Cancello ed Arnone,Cancello ed Arnone
Cancello ed Arnone – MappaPosizione del comune di Cancello ed Arnone nella provincia di Caserta,Cancello ed Arnone – MappaPosizione del comune di Cancello ed Arnone nella provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
