Cellole comune,Cellole comune.1
,
Cellole – Veduta,Cellole – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,Guido Di Leone (lista civica Noi per Cellole) dal 22-9-2020
Territorio,Territorio
Coordinate,41°12′N 13°51′E
Altitudine,17 m s.l.m.
Superficie,"36,79 km²"
Abitanti,8 292[1] (30-11-2025)
Densità,"225,39 ab./km²"
Frazioni,"Baia Domizia, Baia Felice, Borgo Centore, Casamare"
Comuni confinanti,Sessa Aurunca
Altre informazioni,Altre informazioni
Cod. postale,81030
Prefisso,0823
Fuso orario,UTC+1
Codice ISTAT,061102
Cod. catastale,M262
Targa,CE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 074 GG[3]"
Nome abitanti,cellolesi
Patrono,Maria SS. di Costantinopoli
Giorno festivo,martedì dopo Pentecoste
Cartografia,Cartografia
Cellole,Cellole
Cellole – MappaPosizione del comune di Cellole nella provincia di Caserta,Cellole – MappaPosizione del comune di Cellole nella provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
