Casapesenna comune,Casapesenna comune.1
,
Casapesenna – VedutaChiesa Santa Croce,Casapesenna – VedutaChiesa Santa Croce
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,Giustina Zagaria (lista civica) dal 9-6-2024
Territorio,Territorio
Coordinate,40°59′29.58″N 14°08′33.71″E
Altitudine,25 m s.l.m.
Superficie,"3,05 km²"
Abitanti,7 413[1] (30-11-2025)
Densità,"2 430,49 ab./km²"
Frazioni,Isola
Comuni confinanti,"Giugliano in Campania (NA), San Cipriano d'Aversa, San Marcellino, Trentola Ducenta, Villa di Briano"
Altre informazioni,Altre informazioni
Cod. postale,81030
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,061103
Cod. catastale,M260
Targa,CE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 257 GG[3]"
Nome abitanti,casapesennesi/casapellesi
Patrono,sant'Elena Imperatrice
Giorno festivo,18 agosto
Cartografia,Cartografia
Casapesenna,Casapesenna
Casapesenna – MappaPosizione del comune di Casapesenna nella provincia di Caserta,Casapesenna – MappaPosizione del comune di Casapesenna nella provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
