Lusciano comune,Lusciano comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,Marco Valentino (lista civica) dal 27-5-2025
Data di istituzione,1946
Territorio,Territorio
Coordinate,40°58′11.88″N 14°11′33.55″E
Altitudine,44 m s.l.m.
Superficie,"4,56 km²"
Abitanti,16 383[1] (30-11-2025)
Densità,"3 592,76 ab./km²"
Frazioni,"Don Zeno,[2] Rosselli"
Comuni confinanti,"Aversa, Giugliano in Campania (NA), Parete, Trentola Ducenta"
Altre informazioni,Altre informazioni
Cod. postale,81030
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,061046
Cod. catastale,E754
Targa,CE
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona C, 1 129 GG[4]"
Nome abitanti,luscianesi
Patrono,san Luciano di Antiochia
Giorno festivo,7 gennaio e III domenica di settembre
Cartografia,Cartografia
Lusciano,Lusciano
Lusciano – MappaPosizione del comune di Lusciano nella provincia di Caserta,Lusciano – MappaPosizione del comune di Lusciano nella provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
