Teano comune,Teano comune.1
,
Teano – Veduta,Teano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,Giovanni Scoglio (lista civica) dal 13-6-2022
Territorio,Territorio
Coordinate,41°15′N 14°04′E
Altitudine,168 m s.l.m.
Superficie,"89,43 km²"
Abitanti,10 969[1] (30-11-2025)
Densità,"122,65 ab./km²"
Frazioni,"Borgonuovo, Cappelle, Carbonara, Casafredda, Casale, Casamostra, Casi, Cipriani, Fontanelle, Furnolo, Gloriani, Magnano, Maiorisi, Pugliano, San Giulianeta, San Giuliano, San Marco, Santa Maria Versano, Taverna Zarone, Teano Scalo, Tranzi, Tuoro, Versano"
Comuni confinanti,"Caianello, Calvi Risorta, Carinola, Francolise, Riardo, Roccamonfina, Rocchetta e Croce, Sessa Aurunca, Vairano Patenora"
Altre informazioni,Altre informazioni
Cod. postale,81057
Prefisso,0823
Fuso orario,UTC+1
Codice ISTAT,061091
Cod. catastale,L083
Targa,CE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 440 GG[3]"
Nome abitanti,teanesi o sidicini
Patrono,"san Paride e altri 4 compatroni: santa Reparata, sant'Amasio, san Terenziano, sant'Urbano"
Giorno festivo,5 agosto
Cartografia,Cartografia
Teano,Teano
Teano – MappaPosizione del comune di Teano nella provincia di Caserta,Teano – MappaPosizione del comune di Teano nella provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
