Caserta comune,Caserta comune.1
,
Caserta – VedutaPanorama di Caserta dal Santuario di San Michele,Caserta – VedutaPanorama di Caserta dal Santuario di San Michele
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,"Antonella Scolamiero,  Daniela Caruso,  Emilio Saverio Buda[1] (commissione straordinaria) dal 23-4-2025"
Data di istituzione,1799
Territorio,Territorio
Coordinate,41°04′N 14°20′E
Altitudine,68 m s.l.m.
Superficie,"54,07 km²"
Abitanti,72 744[2] (30-11-2025)
Densità,"1 345,37 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Capua, Casagiove, Castel Morrone, Limatola (BN), Maddaloni, Recale, Sant'Agata de' Goti (BN), San Marco Evangelista, San Nicola la Strada, San Prisco, Valle di Maddaloni"
Altre informazioni,Altre informazioni
Cod. postale,81100
Prefisso,0823
Fuso orario,UTC+1
Codice ISTAT,061022
Cod. catastale,B963
Targa,CE
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona C, 1 013 GG[4]"
Nome abitanti,casertani
Patrono,san Sebastiano e sant'Anna
Giorno festivo,20 gennaio e 26 luglio
Cartografia,Cartografia
Caserta,Caserta
Caserta – MappaPosizione del comune di Caserta all'interno dell'omonima provincia,Caserta – MappaPosizione del comune di Caserta all'interno dell'omonima provincia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
