San Potito Sannitico comune,San Potito Sannitico comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,Francesco Imperadore (Per il bene comune) dal maggio 2011
Territorio,Territorio
Coordinate,41°20′N 14°24′E
Altitudine,230 m s.l.m.
Superficie,"23,13 km²"
Abitanti,1 944[1] (30-11-2025)
Densità,"84,05 ab./km²"
Comuni confinanti,"Alife, Castello del Matese, Cusano Mutri (BN), Gioia Sannitica, Piedimonte Matese"
Altre informazioni,Altre informazioni
Cod. postale,81016
Prefisso,0823
Fuso orario,UTC+1
Codice ISTAT,061080
Cod. catastale,I130
Targa,CE
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 507 GG[3]"
Nome abitanti,potitesi
Patrono,san Potito
Giorno festivo,10 febbraio
Cartografia,Cartografia
San Potito Sannitico,San Potito Sannitico
San Potito Sannitico – MappaPosizione del comune di San Potito Sannitico nella provincia di Caserta,San Potito Sannitico – MappaPosizione del comune di San Potito Sannitico nella provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
