Sessa Aurunca comune,Sessa Aurunca comune.1
,
Sessa Aurunca – Veduta,Sessa Aurunca – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,Lorenzo Di Iorio (PD) dal 4-10-2021
Territorio,Territorio
Coordinate,41°14′N 13°56′E
Altitudine,203 m s.l.m.
Superficie,"162,18 km²"
Abitanti,20 050[1] (30-11-2025)
Densità,"123,63 ab./km²"
Frazioni,"Aulpi, Avezzano, Baia Azzurra-Levagnole, Baia Domizia, Carano, Casamare, Cascano, Castellone, Cescheto, Corbara, Corigliano, Cupa, Fasani, Fontanaradina, Gusti, Lauro, Levagnole, Li Paoli, Maiano, Marzuli, Piedimonte Massicano, Ponte, Rongolise, San Carlo, San Castrese, San Limato, San Martino, Santa Maria a Valogno, Sorbello, Tuoro, Valogno, Vigne, Zelloni"
Comuni confinanti,"Carinola, Castelforte (LT), Cellole, Falciano del Massico, Galluccio, Minturno (LT), Mondragone, Rocca d'Evandro, Roccamonfina, Santi Cosma e Damiano (LT), Teano"
Altre informazioni,Altre informazioni
Cod. postale,81037
Prefisso,0823
Fuso orario,UTC+1
Codice ISTAT,061088
Cod. catastale,I676
Targa,CE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 355 GG[3]"
Nome abitanti,sessani
Patrono,san Leone IX Papa
Giorno festivo,8 maggio
Cartografia,Cartografia
Sessa Aurunca,Sessa Aurunca
Sessa Aurunca – MappaPosizione del comune di Sessa Aurunca nella provincia di Caserta,Sessa Aurunca – MappaPosizione del comune di Sessa Aurunca nella provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
