Gallo Matese comune,Gallo Matese comune.1
,
Gallo Matese – Veduta,Gallo Matese – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,Giuseppe Pirraglia (lista civica La rinascita del paese) dal 13-06-2022
Territorio,Territorio
Coordinate,41°28′N 14°13′E
Altitudine,875 m s.l.m.
Superficie,"31,13 km²"
Abitanti,443[1] (30-11-2025)
Densità,"14,23 ab./km²"
Frazioni,Vallelunga
Comuni confinanti,"Capriati a Volturno, Fontegreca, Letino, Longano (IS), Monteroduni (IS), Prata Sannita, Roccamandolfi (IS)"
Altre informazioni,Altre informazioni
Cod. postale,81010
Prefisso,0823
Fuso orario,UTC+1
Codice ISTAT,061038
Cod. catastale,D884
Targa,CE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 739 GG[3]"
Nome abitanti,gallesi
Patrono,S. Antonio
Giorno festivo,13 giugno
Cartografia,Cartografia
Gallo Matese,Gallo Matese
Gallo Matese – MappaPosizione del comune di Gallo Matese nella provincia di Caserta,Gallo Matese – MappaPosizione del comune di Gallo Matese nella provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
