Provincia di Caserta provincia,Provincia di Caserta provincia.1
,
Provincia di Caserta – VedutaVista panoramica del parco della Reggia di Caserta,Provincia di Caserta – VedutaVista panoramica del parco della Reggia di Caserta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Amministrazione,Amministrazione
Capoluogo,Caserta
Presidente,Anacleto Colombiano[1] (FI[2]) dal 27-6-2025
Data di istituzione,1º settembre 1945
Territorio,Territorio
Coordinate del capoluogo,41°10′N 14°13′E
Superficie,"2 651,35 km²"
Abitanti,909 218[3] (30-9-2025)
Densità,"342,93 ab./km²"
Comuni,104 comuni
Province confinanti,"Benevento, Campobasso, Isernia, Latina, Napoli"
Altre informazioni,Altre informazioni
Cod. postale,"81100, 81010-81059"
Prefisso,"0823, 081"
Fuso orario,UTC+1
ISO 3166-2,IT-CE
Codice ISTAT,061
Targa,CE
PIL,"(nominale) 16 444,63 mln €[4](2021)"
PIL procapite,(nominale) 18 170 €[4](2021)
Cartografia,Cartografia
Provincia di Caserta – Localizzazione,Provincia di Caserta – Localizzazione
Provincia di Caserta – Mappa,Provincia di Caserta – Mappa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
