Riardo comune,Riardo comune.1
,
Riardo – VedutaPanoramica su Riardo,Riardo – VedutaPanoramica su Riardo
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,Armando Fusco dal 10-6-2018
Territorio,Territorio
Coordinate,41°16′N 14°09′E
Altitudine,150 m s.l.m.
Superficie,"16,48 km²"
Abitanti,2 172[1] (30-11-2025)
Densità,"131,8 ab./km²"
Comuni confinanti,"Pietramelara, Pietravairano, Rocchetta e Croce, Teano, Vairano Patenora"
Altre informazioni,Altre informazioni
Cod. postale,81053
Prefisso,0823
Fuso orario,UTC+1
Codice ISTAT,061068
Cod. catastale,H268
Targa,CE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 344 GG[3]"
Nome abitanti,riardesi
Patrono,sant'Antonio abate
Giorno festivo,17 gennaio
Cartografia,Cartografia
Riardo,Riardo
Riardo – MappaPosizione del comune di Riardo nella provincia di Caserta,Riardo – MappaPosizione del comune di Riardo nella provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
