Prata Sannita comune,Prata Sannita comune.1
,
Prata Sannita – VedutaIl Castello in una foto d'epoca.,Prata Sannita – VedutaIl Castello in una foto d'epoca.
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,Angelo Capone (lista civica Uniti per il Futuro) dal 9-6-2024
Territorio,Territorio
Coordinate,41°26′N 14°12′E
Altitudine,333 m s.l.m.
Superficie,"21,21 km²"
Abitanti,1 323[1] (30-11-2025)
Densità,"62,38 ab./km²"
Comuni confinanti,"Ailano, Ciorlano, Fontegreca, Gallo Matese, Letino, Pratella, Raviscanina, Valle Agricola"
Altre informazioni,Altre informazioni
Cod. postale,81010
Prefisso,0823
Fuso orario,UTC+1
Codice ISTAT,061063
Cod. catastale,G991
Targa,CE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 673 GG[3]"
Nome abitanti,pratesi
Patrono,san Pancrazio
Cartografia,Cartografia
Prata Sannita,Prata Sannita
Prata Sannita – MappaPosizione del comune di Prata Sannita nella provincia di Caserta,Prata Sannita – MappaPosizione del comune di Prata Sannita nella provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
