Teverola comune,Teverola comune.1
,
Teverola – VedutaFacciata Esterna del Municipio di Teverola,Teverola – VedutaFacciata Esterna del Municipio di Teverola
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,Gennaro Caserta (lista civica Teverola futura) dal 10-6-2024
Territorio,Territorio
Coordinate,41°00′N 14°13′E
Altitudine,25 m s.l.m.
Superficie,"6,7 km²"
Abitanti,15 050[1] (30-11-2025)
Densità,"2 246,27 ab./km²"
Frazioni,vedi elenco
Comuni confinanti,"Aversa, Carinaro, Casaluce, San Tammaro, Santa Maria Capua Vetere"
Altre informazioni,Altre informazioni
Cod. postale,81030
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,061092
Cod. catastale,L155
Targa,CE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 091 GG[3]"
Nome abitanti,teverolesi
Patrono,san Giovanni evangelista
Giorno festivo,27 dicembre
Cartografia,Cartografia
Teverola,Teverola
Teverola – MappaPosizione del comune di Teverola nella provincia di Caserta,Teverola – MappaPosizione del comune di Teverola nella provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
