Pastorano comune,Pastorano comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,Vincenzo Russo (lista civica) dal 12-6-2017 (2º mandato dal 13-6-2022)
Territorio,Territorio
Coordinate,41°11′N 14°12′E
Altitudine,67 m s.l.m.
Superficie,"14,02 km²"
Abitanti,2 856[1] (30-11-2025)
Densità,"203,71 ab./km²"
Frazioni,"Pantuliano, San Secondino, Torre Lupara"
Comuni confinanti,"Camigliano, Giano Vetusto, Pignataro Maggiore, Vitulazio"
Altre informazioni,Altre informazioni
Cod. postale,81050
Prefisso,0823
Fuso orario,UTC+1
Codice ISTAT,061055
Cod. catastale,G364
Targa,CE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 176 GG[3]"
Nome abitanti,pastoranesi
Patrono,Beata Vergine Maria del Monte Carmelo
Giorno festivo,terza domenica di ottobre
Cartografia,Cartografia
Pastorano,Pastorano
Pastorano – MappaPosizione del comune di Pastorano nella provincia di Caserta,Pastorano – MappaPosizione del comune di Pastorano nella provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
