Capua comune,Capua comune.1
,
Capua – VedutaPonte romano sul Volturno (ricostruzione postbellica),Capua – VedutaPonte romano sul Volturno (ricostruzione postbellica)
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,Adolfo Villani (PD) dal 26-6-2022
Territorio,Territorio
Coordinate,41°06′20″N 14°12′50″E
Altitudine,25 m s.l.m.
Superficie,"48,6 km²"
Abitanti,18 018[1] (30-11-2025)
Densità,"370,74 ab./km²"
Frazioni,Sant'Angelo in Formis
Comuni confinanti,"Bellona, Caserta, Castel di Sasso, Castel Morrone, Grazzanise, Pontelatone, San Prisco, San Tammaro, Santa Maria Capua Vetere, Santa Maria la Fossa, Vitulazio"
Altre informazioni,Altre informazioni
Cod. postale,81043
Prefisso,0823
Fuso orario,UTC+1
Codice ISTAT,061015
Cod. catastale,B715
Targa,CE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 091 GG[3]"
Nome abitanti,capuani
Patrono,sant'Agata e santo Stefano
Giorno festivo,5 febbraio
Cartografia,Cartografia
Capua,Capua
Capua – MappaPosizione del comune di Capua nella provincia di Caserta,Capua – MappaPosizione del comune di Capua nella provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
