San Cipriano d'Aversa comune,San Cipriano d'Aversa comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,Vincenzo Caterino (lista civica) dal 27-10-2014 (2º mandato dal 22-9-2020)
Territorio,Territorio
Coordinate,41°00′03.76″N 14°07′54.25″E
Altitudine,20 m s.l.m.
Superficie,"6,22 km²"
Abitanti,13 496[1] (30-11-2025)
Densità,"2 169,77 ab./km²"
Comuni confinanti,"Casal di Principe, Casapesenna, Giugliano in Campania (NA), Villa di Briano, Villa Literno"
Altre informazioni,Altre informazioni
Cod. postale,81036
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,061074
Cod. catastale,H798
Targa,CE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 333 GG[3]"
Nome abitanti,sanciprianesi
Patrono,santi Cipriano e Giustina d'Antiochia
Giorno festivo,26 settembre
Cartografia,Cartografia
San Cipriano d'Aversa,San Cipriano d'Aversa
San Cipriano d'Aversa – MappaPosizione del comune di San Cipriano d'Aversa nella provincia di Caserta,San Cipriano d'Aversa – MappaPosizione del comune di San Cipriano d'Aversa nella provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
