Pignataro Maggiore comune,Pignataro Maggiore comune.1
,
Pignataro Maggiore – Veduta,Pignataro Maggiore – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,Savina Macchiarella (Commissario Prefettizio) dal 16-1-2026
Territorio,Territorio
Coordinate,41°12′N 14°10′E
Altitudine,93 m s.l.m.
Superficie,"32,38 km²"
Abitanti,5 814[1] (30-11-2025)
Densità,"179,56 ab./km²"
Frazioni,"Monte (zona nord), Partignano (zona est), Pignataro Scalo, Rarone (zona sud), Vinnoli (zona ovest)"
Comuni confinanti,"Calvi Risorta, Francolise, Giano Vetusto, Grazzanise, Pastorano, Sparanise, Vitulazio"
Altre informazioni,Altre informazioni
Cod. postale,81052
Prefisso,0823
Fuso orario,UTC+1
Codice ISTAT,061060
Cod. catastale,G661
Targa,CE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 229 GG[3]"
Nome abitanti,pignataresi
Patrono,san Giorgio
Giorno festivo,Prima domenica di giugno
Cartografia,Cartografia
Pignataro Maggiore,Pignataro Maggiore
Pignataro Maggiore – MappaPosizione del comune di Pignataro Maggiore nella provincia di Caserta,Pignataro Maggiore – MappaPosizione del comune di Pignataro Maggiore nella provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
