Casal di Principe comune,Casal di Principe comune.1
,
Casal di Principe – VedutaChiesa del SS. Salvatore,Casal di Principe – VedutaChiesa del SS. Salvatore
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,Ottavio Corvino (lista civica di centro-destra) dal 28-6-2024
Territorio,Territorio
Coordinate,41°00′39″N 14°07′55″E
Altitudine,16 m s.l.m.
Superficie,"23,49 km²"
Abitanti,21 992[1] (30-11-2025)
Densità,"936,23 ab./km²"
Comuni confinanti,"Cancello ed Arnone, Grazzanise, San Cipriano d'Aversa, San Tammaro, Santa Maria la Fossa, Villa di Briano, Villa Literno"
Altre informazioni,Altre informazioni
Cod. postale,81033
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,061019
Cod. catastale,B872
Targa,CE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 094 GG[3]"
Nome abitanti,casalesi
Patrono,Maria SS. Preziosa
Giorno festivo,12 settembre
Cartografia,Cartografia
Casal di Principe,Casal di Principe
Casal di Principe – MappaPosizione del comune di Casal di Principe nella provincia di Caserta,Casal di Principe – MappaPosizione del comune di Casal di Principe nella provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
