Alvignano comune,Alvignano comune.1
,
Alvignano – Veduta,Alvignano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,Angelo Di Costanzo (Per Alvignano) dal 13-6-2022
Territorio,Territorio
Coordinate,41°15′N 14°20′E
Altitudine,132 m s.l.m.
Superficie,"38,13 km²"
Abitanti,4 435[1] (30-11-2025)
Densità,"116,31 ab./km²"
Frazioni,"Marcianofreddo, San Mauro"
Comuni confinanti,"Alife, Caiazzo, Dragoni, Gioia Sannitica, Liberi, Ruviano"
Altre informazioni,Altre informazioni
Cod. postale,81012
Prefisso,0823
Fuso orario,UTC+1
Codice ISTAT,061003
Cod. catastale,A243
Targa,CE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 308 GG[3]"
Nome abitanti,alvignanesi
Patrono,san Ferdinando d'Aragona
Giorno festivo,Seconda domenica di luglio
Cartografia,Cartografia
Alvignano,Alvignano
Alvignano – MappaPosizione del comune di Alvignano nella provincia di Caserta,Alvignano – MappaPosizione del comune di Alvignano nella provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
