Tora e Piccilli comune,Tora e Piccilli comune.1
,
Tora e Piccilli – VedutaVeduta di Tora,Tora e Piccilli – VedutaVeduta di Tora
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,Vincenzo D'Agostino (lista civica Tora e Piccilli rinasce) dal 09-06-2024[1]
Territorio,Territorio
Coordinate,41°20′N 14°01′E
Altitudine,343 m s.l.m.
Superficie,"12,39 km²"
Abitanti,737[2] (30-11-2025)
Densità,"59,48 ab./km²"
Frazioni,"Foresta, Pesche, Piccilli, Schete, Tuoro, Tuoro Rosso"
Comuni confinanti,"Conca della Campania, Marzano Appio, Presenzano"
Altre informazioni,Altre informazioni
Cod. postale,81044
Prefisso,0823
Fuso orario,UTC+1
Codice ISTAT,061093
Cod. catastale,L205
Targa,CE
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona D, 1 736 GG[4]"
Nome abitanti,torani e piccilesi
Cartografia,Cartografia
Tora e Piccilli,Tora e Piccilli
Tora e Piccilli – MappaPosizione del comune di Tora e Piccilli nella provincia di Caserta,Tora e Piccilli – MappaPosizione del comune di Tora e Piccilli nella provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
