Formicola comune,Formicola comune.1
,
Formicola – VedutaSantuario della Madonna del Castello,Formicola – VedutaSantuario della Madonna del Castello
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,Michele Scirocco (lista civica Amore per Formicola) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,41°13′N 14°14′E
Altitudine,192 m s.l.m.
Superficie,"15,68 km²"
Abitanti,1 397[1] (30-11-2025)
Densità,"89,09 ab./km²"
Comuni confinanti,"Camigliano, Giano Vetusto, Pietramelara, Pontelatone, Roccaromana, Rocchetta e Croce"
Altre informazioni,Altre informazioni
Cod. postale,81040
Prefisso,0823
Fuso orario,UTC+1
Codice ISTAT,061035
Cod. catastale,D709
Targa,CE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 438 GG[3]"
Nome abitanti,formicolani
Patrono,san Biagio
Cartografia,Cartografia
Formicola,Formicola
Formicola – MappaPosizione del comune di Formicola nella provincia di Caserta,Formicola – MappaPosizione del comune di Formicola nella provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
