Dragoni comune,Dragoni comune.1
,
Dragoni – Veduta,Dragoni – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,Antonella D'Aloia (lista civica) dal 13-6-2022
Territorio,Territorio
Coordinate,41°16′N 14°18′E
Altitudine,130 m s.l.m.
Superficie,"25,78 km²"
Abitanti,1 860[1] (30-11-2025)
Densità,"72,15 ab./km²"
Frazioni,Maiorano di Monte
Comuni confinanti,"Alife, Alvignano, Baia e Latina, Liberi, Roccaromana"
Altre informazioni,Altre informazioni
Cod. postale,81010; 81040 (Maiorano di Monte)
Prefisso,0823
Fuso orario,UTC+1
Codice ISTAT,061033
Cod. catastale,D361
Targa,CE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 304 GG[3]"
Nome abitanti,dragonesi
Patrono,san Ferdinando d'Aragona
Giorno festivo,terza domenica di luglio
Cartografia,Cartografia
Dragoni,Dragoni
Dragoni – MappaPosizione del comune di Dragoni nella provincia di Caserta,Dragoni – MappaPosizione del comune di Dragoni nella provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
