Caianello comune,Caianello comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,Lamberto Di Caprio (Progetto Caianello) dal 26-5-2019
Territorio,Territorio
Coordinate,41°18′N 14°05′E
Altitudine,236 m s.l.m.
Superficie,"15,68 km²"
Abitanti,1 827[1] (30-11-2025)
Densità,"116,52 ab./km²"
Frazioni,"Aorivola, Caianello Vecchio, Casinove, Cittadella, Gaudisciano, Lompari, Montano, Poza, Santa Lucia (sede comunale)"
Comuni confinanti,"Marzano Appio, Roccamonfina, Teano, Vairano Patenora"
Altre informazioni,Altre informazioni
Cod. postale,81059
Prefisso,0823
Fuso orario,UTC+1
Codice ISTAT,061008
Cod. catastale,B361
Targa,CE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 521 GG[3]"
Nome abitanti,caianellesi
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Caianello,Caianello
Caianello – MappaPosizione del comune di Caianello nella provincia di Caserta,Caianello – MappaPosizione del comune di Caianello nella provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
