Castel Volturno comune,Castel Volturno comune.1
,
Castel Volturno – VedutaLa chiesa dell'Annunziata,Castel Volturno – VedutaLa chiesa dell'Annunziata
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,Pasquale Marrandino (FI) dal 24-06-24
Territorio,Territorio
Coordinate,41°03′N 13°55′E
Altitudine,3 m s.l.m.
Superficie,"73,95 km²"
Abitanti,31 201[1] (30-11-2025)
Densità,"421,92 ab./km²"
Frazioni,"Bagnara, Baia Verde, Destra Volturno, Ischitella, Mazzafarro, Scatozza, Seponi, Villaggio Coppola Pinetamare, Villaggio del Sole."
Comuni confinanti,"Cancello ed Arnone, Giugliano in Campania (NA), Mondragone, Villa Literno"
Altre informazioni,Altre informazioni
Cod. postale,81030
Prefisso,"0823 capoluogo e altre frazioni; 081 Villaggio Coppola Pinetamare, Ischitella e frazioni adiacenti al confine con Giugliano"
Fuso orario,UTC+1
Codice ISTAT,061027
Cod. catastale,C291
Targa,CE
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona C, 1 124 GG[3]"
Nome abitanti,castellani
Patrono,san Castrese
Giorno festivo,11 febbraio
Cartografia,Cartografia
Castel Volturno,Castel Volturno
Castel Volturno – MappaPosizione del comune di Castel Volturno nella provincia di Caserta,Castel Volturno – MappaPosizione del comune di Castel Volturno nella provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
