Galluccio comune,Galluccio comune.1
,
Galluccio – Veduta,Galluccio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,Francesco Lepore (lista civica Trasparenza Idee e Valori) dal 10-6-2018
Territorio,Territorio
Coordinate,41°21′N 13°57′E
Altitudine,368 m s.l.m.
Superficie,"32,11 km²"
Abitanti,1 988[1] (30-11-2025)
Densità,"61,91 ab./km²"
Frazioni,"Calabritto, Campo, Mieli, San Clemente, Sipicciano, Vaglie"
Comuni confinanti,"Conca della Campania, Mignano Monte Lungo, Rocca d'Evandro, Roccamonfina, Sessa Aurunca"
Altre informazioni,Altre informazioni
Cod. postale,81044
Prefisso,0823
Fuso orario,UTC+1
Codice ISTAT,061039
Cod. catastale,D886
Targa,CE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 787 GG[3]"
Nome abitanti,gallucciani
Patrono,sant'Antonio abate
Giorno festivo,17 gennaio
Cartografia,Cartografia
Galluccio,Galluccio
Galluccio – MappaPosizione del comune di Galluccio nella provincia di Caserta,Galluccio – MappaPosizione del comune di Galluccio nella provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
