Francolise comune,Francolise comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,Saturnino Augusto Di Benedetto (lista civica La Scelta Giusta per Francolise) dal 10-06-2024
Territorio,Territorio
Coordinate,41°11′N 14°03′E
Altitudine,103 m s.l.m.
Superficie,"40,93 km²"
Abitanti,4 660[1] (30-11-2025)
Densità,"113,85 ab./km²"
Frazioni,"Ciamprisco, Montanaro, Sant'Andrea del Pizzone"
Comuni confinanti,"Calvi Risorta, Carinola, Grazzanise, Pignataro Maggiore, Sparanise, Teano"
Altre informazioni,Altre informazioni
Cod. postale,81050
Prefisso,0823
Fuso orario,UTC+1
Codice ISTAT,061036
Cod. catastale,D769
Targa,CE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 249 GG[3]"
Nome abitanti,francolisani
Cartografia,Cartografia
Francolise,Francolise
Francolise – MappaPosizione del comune di Francolise nella provincia di Caserta,Francolise – MappaPosizione del comune di Francolise nella provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
