San Pietro Infine comune,San Pietro Infine comune.1
,
San Pietro Infine – Veduta,San Pietro Infine – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,Antonio Vacca (lista civica Rinascita) dal 4-10-2021
Territorio,Territorio
Coordinate,41°26′49″N 13°57′45″E
Altitudine,140 m s.l.m.
Superficie,"13,72 km²"
Abitanti,773[1] (30-11-2025)
Densità,"56,34 ab./km²"
Frazioni,"Colle Apone, San Cataldo"
Comuni confinanti,"Mignano Monte Lungo, San Vittore del Lazio (FR), Venafro (IS)"
Altre informazioni,Altre informazioni
Cod. postale,81049
Prefisso,0823
Fuso orario,UTC+1
Codice ISTAT,061079
Cod. catastale,I113
Targa,CE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 324 GG[3]"
Nome abitanti,sanpietresi
Patrono,Maria Santissima dell'Acqua
Cartografia,Cartografia
San Pietro Infine,San Pietro Infine
San Pietro Infine – MappaPosizione del comune di San Pietro Infine nella provincia di Caserta,San Pietro Infine – MappaPosizione del comune di San Pietro Infine nella provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
