Recale comune,Recale comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,Porfidia Raffaele (lista civica SiAmo Recale) dall'11-6-2017
Territorio,Territorio
Coordinate,41°03′N 14°18′E
Altitudine,43 m s.l.m.
Superficie,"3,22 km²"
Abitanti,7 709[1] (30-11-2025)
Densità,"2 394,1 ab./km²"
Comuni confinanti,"Capodrise, Casagiove, Casapulla, Caserta, Macerata Campania, Portico di Caserta, San Nicola la Strada"
Altre informazioni,Altre informazioni
Cod. postale,81020
Prefisso,0823
Fuso orario,UTC+1
Codice ISTAT,061067
Cod. catastale,H210
Targa,CE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 918 GG[3]"
Nome abitanti,recalesi
Patrono,Antimo di Roma
Giorno festivo,11 maggio
Cartografia,Cartografia
Recale,Recale
Recale – MappaPosizione del comune di Recale nella provincia di Caserta,Recale – MappaPosizione del comune di Recale nella provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
