Succivo comune,Succivo comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,Salvatore Papa (lista civica Succivo viva) dal 4-10-2021
Territorio,Territorio
Coordinate,40°58′N 14°15′E
Altitudine,35 m s.l.m.
Superficie,"7,21 km²"
Abitanti,8 920[1] (30-11-2025)
Densità,"1 237,17 ab./km²"
Frazioni,"Casapozzano, Popone, Teverolaccio"
Comuni confinanti,"Cesa, Gricignano di Aversa, Marcianise, Orta di Atella, Sant'Arpino"
Altre informazioni,Altre informazioni
Cod. postale,81030
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,061090
Cod. catastale,I993
Targa,CE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 191 GG[3]"
Nome abitanti,succivesi
Patrono,Gesù Trasfigurato
Giorno festivo,prima domenica di luglio
Cartografia,Cartografia
Succivo,Succivo
Succivo – MappaPosizione del comune di Succivo nella provincia di Caserta,Succivo – MappaPosizione del comune di Succivo nella provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
