Mondragone comune,Mondragone comune.1
,
Mondragone – VedutaPanorama dal monte Crestagallo,Mondragone – VedutaPanorama dal monte Crestagallo
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,Francesco Lavanga (lista civica di centro-sinistra) dal 13-6-2022
Territorio,Territorio
Coordinate,41°06′N 13°53′E
Altitudine,10 m s.l.m.
Superficie,"55,72 km²"
Abitanti,28 316[1] (30-11-2025)
Densità,"508,18 ab./km²"
Frazioni,"Le Vagnole, Pescopagano"
Comuni confinanti,"Cancello ed Arnone, Castel Volturno, Falciano del Massico, Sessa Aurunca, Carinola"
Altre informazioni,Altre informazioni
Cod. postale,81034
Prefisso,0823
Fuso orario,UTC+1
Codice ISTAT,061052
Cod. catastale,F352
Targa,CE
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona C, 1 060 GG[3]"
Nome abitanti,mondragonesi
Patrono,Madonna Incaldana
Giorno festivo,martedì successivo al lunedì in Albis
Cartografia,Cartografia
Mondragone,Mondragone
Mondragone – MappaPosizione del comune di Mondragone nella provincia di Caserta,Mondragone – MappaPosizione del comune di Mondragone nella provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
