Valle di Maddaloni comune,Valle di Maddaloni comune.1
,
Valle di Maddaloni – Veduta,Valle di Maddaloni – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,Buzzo Francesco (lista civica Cambiamo Valle) dall'11-6-2017 (2º mandato dal 12-6-2022)
Territorio,Territorio
Coordinate,41°04′44″N 14°24′53″E
Altitudine,156 m s.l.m.
Superficie,"10,9 km²"
Abitanti,2 575[1] (30-11-2025)
Densità,"236,24 ab./km²"
Frazioni,"Ponti della Valle, Suppa"
Comuni confinanti,"Caserta, Cervino, Durazzano (BN), Maddaloni, Sant'Agata de' Goti (BN)"
Altre informazioni,Altre informazioni
Cod. postale,81020
Prefisso,0823
Fuso orario,UTC+1
Codice ISTAT,061097
Cod. catastale,L591
Targa,CE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 399 GG[3]"
Nome abitanti,vallesi
Patrono,san Pancrazio martire
Giorno festivo,12 maggio
PIL procapite,(nominale) 15 296 €[4]
Cartografia,Cartografia
Valle di Maddaloni,Valle di Maddaloni
Valle di Maddaloni – MappaPosizione del comune di Valle di Maddaloni nella provincia di Caserta,Valle di Maddaloni – MappaPosizione del comune di Valle di Maddaloni nella provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
