Casapulla comune,Casapulla comune.1
,
Casapulla – VedutaLa chiesa di sant'Elpidio,Casapulla – VedutaLa chiesa di sant'Elpidio
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,Ferdinando Bosco (lista civica Noi Ci Siamo) dal 18-6-2024
Territorio,Territorio
Coordinate,41°04′52.85″N 14°17′29.42″E
Altitudine,46 m s.l.m.
Superficie,"2,9 km²"
Abitanti,8 263[1] (30-11-2025)
Densità,"2 849,31 ab./km²"
Comuni confinanti,"Casagiove, Curti, Macerata Campania, Recale, San Prisco"
Altre informazioni,Altre informazioni
Cod. postale,81020
Prefisso,0823
Fuso orario,UTC+1
Codice ISTAT,061021
Cod. catastale,B935
Targa,CE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 924 GG[3]"
Nome abitanti,casapullesi
Patrono,sant'Elpidio
Giorno festivo,26 maggio
Cartografia,Cartografia
Casapulla,Casapulla
Casapulla – MappaPosizione del comune di Casapulla nella provincia di Caserta,Casapulla – MappaPosizione del comune di Casapulla nella provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
