Marcianise comune,Marcianise comune.1
,
Marcianise – VedutaPiazza Umberto I,Marcianise – VedutaPiazza Umberto I
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,Biagio Del Prete (commissario prefettizio) dal 19-1-2026
Territorio,Territorio
Coordinate,41°02′N 14°18′E
Altitudine,33 m s.l.m.
Superficie,"30,21 km²"
Abitanti,38 059[1] (30-11-2025)
Densità,"1 259,81 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Acerra (NA), Caivano (NA), Capodrise, Carinaro, Gricignano di Aversa, Macerata Campania, Maddaloni, Orta di Atella, Portico di Caserta, San Marco Evangelista, San Nicola la Strada, Santa Maria Capua Vetere, Succivo"
Altre informazioni,Altre informazioni
Cod. postale,81025
Prefisso,0823
Fuso orario,UTC+1
Codice ISTAT,061049
Cod. catastale,E932
Targa,CE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 107 GG[3]"
Nome abitanti,marcianisani
Patrono,san Michele Arcangelo
Giorno festivo,8 maggio
Cartografia,Cartografia
Marcianise,Marcianise
Marcianise – MappaPosizione del comune di Marcianise nella provincia di Caserta,Marcianise – MappaPosizione del comune di Marcianise nella provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
