Vairano Patenora comune,Vairano Patenora comune.1
,
Vairano Patenora – Veduta,Vairano Patenora – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,Stanislao Supino (lista civica) dal 13-6-2022
Territorio,Territorio
Coordinate,41°20′N 14°08′E
Altitudine,168 m s.l.m.
Superficie,"43,52 km²"
Abitanti,6 413[1] (30-11-2025)
Densità,"147,36 ab./km²"
Frazioni,"Marzanello, Vairano Scalo"
Comuni confinanti,"Ailano, Caianello, Marzano Appio, Pietravairano, Pratella, Presenzano, Raviscanina, Riardo, Teano"
Altre informazioni,Altre informazioni
Cod. postale,81058
Prefisso,0823
Fuso orario,UTC+1
Codice ISTAT,061095
Cod. catastale,L540
Targa,CE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 383 GG[3]"
Nome abitanti,vairanesi
Patrono,san Bartolomeo
Giorno festivo,24 agosto
Cartografia,Cartografia
Vairano Patenora,Vairano Patenora
Vairano Patenora – MappaPosizione del comune di Vairano Patenora nella provincia di Caserta,Vairano Patenora – MappaPosizione del comune di Vairano Patenora nella provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
