Calvi Risorta comune,Calvi Risorta comune.1
,
Calvi Risorta – Veduta,Calvi Risorta – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,Francesco Massidda - Giuseppina Ferri - Sebastiano Giangrande (Commissione Prefettizia) dal 29-07-2024
Territorio,Territorio
Coordinate,41°13′08″N 14°07′45″E
Altitudine,80 m s.l.m.
Superficie,"15,96 km²"
Abitanti,5 367[1] (30-11-2025)
Densità,"336,28 ab./km²"
Frazioni,"Calvi Vecchia, Petrulo, Visciano, Zuni"
Comuni confinanti,"Francolise, Giano Vetusto, Pignataro Maggiore, Rocchetta e Croce, Sparanise, Teano"
Altre informazioni,Altre informazioni
Cod. postale,81042
Prefisso,0823
Fuso orario,UTC+1
Codice ISTAT,061010
Cod. catastale,B445
Targa,CE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 257 GG[3]"
Nome abitanti,caleni
Patrono,"san Casto, vescovo e martire"
Giorno festivo,22 maggio
Cartografia,Cartografia
Calvi Risorta,Calvi Risorta
Calvi Risorta – MappaPosizione del comune di Calvi Risorta nella provincia di Caserta,Calvi Risorta – MappaPosizione del comune di Calvi Risorta nella provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
