San Tammaro comune,San Tammaro comune.1
,
San Tammaro – VedutaReale tenuta di Carditello,San Tammaro – VedutaReale tenuta di Carditello
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,Vincenzo D'Angelo (lista civica LeAli) dal 2021
Territorio,Territorio
Coordinate,41°04′33.17″N 14°13′51.78″E
Altitudine,22 m s.l.m.
Superficie,"36,97 km²"
Abitanti,5 752[1] (30-11-2025)
Densità,"155,59 ab./km²"
Frazioni,Carditello
Comuni confinanti,"Capua, Casal di Principe, Casaluce, Frignano, Santa Maria Capua Vetere, Santa Maria la Fossa, Teverola, Villa di Briano"
Altre informazioni,Altre informazioni
Cod. postale,81050
Prefisso,0823
Fuso orario,UTC+1
Codice ISTAT,061085
Cod. catastale,I261
Targa,CE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 084 GG[3]"
Nome abitanti,tammaresi
Patrono,san Tammaro
Giorno festivo,16 gennaio e 21 ottobre
Cartografia,Cartografia
San Tammaro,San Tammaro
San Tammaro – MappaPosizione del comune di San Tammaro nella provincia di Caserta,San Tammaro – MappaPosizione del comune di San Tammaro nella provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
