Capriati a Volturno comune,Capriati a Volturno comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,Rocco Marcaccio (lista civica Capriati rinasce) dal 4-10-2021
Territorio,Territorio
Coordinate,41°28′00″N 14°09′00″E
Altitudine,290 m s.l.m.
Superficie,"18,39 km²"
Abitanti,1 390[1] (30-11-2025)
Densità,"75,58 ab./km²"
Comuni confinanti,"Ciorlano, Fontegreca, Gallo Matese, Monteroduni (IS), Pozzilli (IS), Venafro (IS)"
Altre informazioni,Altre informazioni
Cod. postale,81014
Prefisso,0823
Fuso orario,UTC+1
Codice ISTAT,061014
Cod. catastale,B704
Targa,CE
Cl. sismica,zona 2 (sismicità media)[2]
Nome abitanti,capriatesi
Patrono,"san Nicola, san Rocco"
Giorno festivo,16 agosto
Cartografia,Cartografia
Capriati a Volturno,Capriati a Volturno
Capriati a Volturno – MappaPosizione del comune di Capriati a Volturno nella provincia di Caserta,Capriati a Volturno – MappaPosizione del comune di Capriati a Volturno nella provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
