San Marco Evangelista comune,San Marco Evangelista comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,Antonella De Ninno (commissario prefettizio) dal 30-4-2025
Territorio,Territorio
Coordinate,41°02′N 14°20′E
Altitudine,46 m s.l.m.
Superficie,"5,7 km²"
Abitanti,6 470[1] (30-11-2025)
Densità,"1 135,09 ab./km²"
Comuni confinanti,"Capodrise, Caserta, Maddaloni, Marcianise, San Nicola la Strada"
Altre informazioni,Altre informazioni
Cod. postale,81020
Prefisso,0823
Fuso orario,UTC+1
Codice ISTAT,061104
Cod. catastale,F043
Targa,CE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 924 GG[3]"
Nome abitanti,sanmarchesi
Patrono,san Marco
Giorno festivo,25 aprile
Cartografia,Cartografia
San Marco Evangelista,San Marco Evangelista
San Marco Evangelista – MappaPosizione del comune di San Marco Evangelista nella provincia di Caserta,San Marco Evangelista – MappaPosizione del comune di San Marco Evangelista nella provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
