Castel di Sasso comune,Castel di Sasso comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,Petruccione Davide (lista civica Radici e futuro) dal 10-06-2024
Territorio,Territorio
Coordinate,41°11′N 14°17′E
Altitudine,200 m s.l.m.
Superficie,"20,32 km²"
Abitanti,994[1] (30-11-2025)
Densità,"48,92 ab./km²"
Frazioni,"Sasso (principale), Prea, Cisterna, Strangolagalli, San Marco"
Comuni confinanti,"Caiazzo, Capua, Liberi, Piana di Monte Verna, Pontelatone"
Altre informazioni,Altre informazioni
Cod. postale,81040
Prefisso,0823
Fuso orario,UTC+1
Codice ISTAT,061024
Cod. catastale,C097
Targa,CE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 446 GG[3]"
Nome abitanti,sassesi
Patrono,san Biagio Vescovo e Martire di Sebaste
Giorno festivo,3 febbraio
Cartografia,Cartografia
Castel di Sasso,Castel di Sasso
Castel di Sasso – MappaPosizione del comune di Castel di Sasso nella provincia di Caserta,Castel di Sasso – MappaPosizione del comune di Castel di Sasso nella provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
