Maddaloni comune,Maddaloni comune.1
,
Maddaloni – Veduta,Maddaloni – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,Andrea De Filippo (FI) dal 10-6-2018 (2º mandato dal 15-5-2023)
Territorio,Territorio
Coordinate,41°02′N 14°23′E
Altitudine,73 m s.l.m.
Superficie,"36,67 km²"
Abitanti,36 581[1] (30-11-2025)
Densità,"997,57 ab./km²"
Frazioni,"Calabricito, Casino Fortini, Galazia, Grotticella, Maddaloni Superiore, Messercola, Montedecoro, Monti, Sauda, Strettola, Sant'Eustachio, Saliscendi"
Comuni confinanti,"Acerra (NA), Caserta, Cervino, Marcianise, San Felice a Cancello, San Marco Evangelista, Valle di Maddaloni, Santa Maria a Vico"
Altre informazioni,Altre informazioni
Cod. postale,81024
Prefisso,0823
Fuso orario,UTC+1
Codice ISTAT,061048
Cod. catastale,E791
Targa,CE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 978 GG[3]"
Nome abitanti,maddalonesi
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Maddaloni,Maddaloni
Maddaloni – MappaPosizione del comune di Maddaloni nella provincia di Caserta,Maddaloni – MappaPosizione del comune di Maddaloni nella provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
