Presenzano comune,Presenzano comune.1
,
Presenzano – Veduta,Presenzano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,Andrea Maccarelli (lista civica di centro-destra Progetto futuro) dal 27-5-2013 (3º mandato dal 15-5-2023)
Territorio,Territorio
Coordinate,41°23′N 14°05′E
Altitudine,272 m s.l.m.
Superficie,"31,89 km²"
Abitanti,1 609[1] (30-11-2025)
Densità,"50,45 ab./km²"
Comuni confinanti,"Conca della Campania, Marzano Appio, Mignano Monte Lungo, Pratella, Sesto Campano (IS), Tora e Piccilli, Vairano Patenora"
Altre informazioni,Altre informazioni
Cod. postale,81050
Prefisso,0823
Fuso orario,UTC+1
Codice ISTAT,061065
Cod. catastale,H045
Targa,CE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 592 GG[3]"
Nome abitanti,presenzanesi
Cartografia,Cartografia
Presenzano,Presenzano
Presenzano – MappaPosizione del comune di Presenzano nella provincia di Caserta,Presenzano – MappaPosizione del comune di Presenzano nella provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
