Trentola Ducenta comune,Trentola Ducenta comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,Michele Apicella (Liste civiche di sinistra) dal 23-9-2020
Territorio,Territorio
Coordinate,40°58′34.42″N 14°10′38.23″E
Altitudine,42 m s.l.m.
Superficie,"6,66 km²"
Abitanti,20 888[1] (30-11-2025)
Densità,"3 136,34 ab./km²"
Comuni confinanti,"Aversa, Casapesenna, Giugliano in Campania (NA), Lusciano, Parete, San Marcellino"
Altre informazioni,Altre informazioni
Cod. postale,81038
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,061094
Cod. catastale,L379
Targa,CE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 125 GG[3]"
Nome abitanti,"trentolesi, ducentini"
Patrono,"San Michele Arcangelo, San Giorgio"
Giorno festivo,"29 settembre, 23 aprile"
Cartografia,Cartografia
Trentola Ducenta,Trentola Ducenta
Trentola Ducenta – MappaPosizione del comune di Trentola Ducenta nella provincia di Caserta,Trentola Ducenta – MappaPosizione del comune di Trentola Ducenta nella provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
