Piedimonte Matese comune,Piedimonte Matese comune.1
,
Piedimonte Matese – Veduta,Piedimonte Matese – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,Vittorio Civitillo (lista civica) dal 4-10-2021
Territorio,Territorio
Coordinate,41°22′00.7″N 14°23′48.03″E
Altitudine,160 m s.l.m.
Superficie,"41,43 km²"
Abitanti,9 992[1] (30-11-2025)
Densità,"241,18 ab./km²"
Frazioni,"Piano Maiuri, Sepicciano"
Comuni confinanti,"Alife, Castello del Matese, Cusano Mutri (BN), Guardiaregia (CB), San Gregorio Matese, San Potito Sannitico, Sant'Angelo d'Alife"
Altre informazioni,Altre informazioni
Cod. postale,81016
Prefisso,0823
Fuso orario,UTC+1
Codice ISTAT,061057
Cod. catastale,G596
Targa,CE
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona C, 1 385 GG[3]"
Nome abitanti,piedimontesi
Patrono,san Marcellino
Giorno festivo,2 giugno
Cartografia,Cartografia
Piedimonte Matese,Piedimonte Matese
Piedimonte Matese – MappaPosizione del comune di Piedimonte Matese nella provincia di Caserta,Piedimonte Matese – MappaPosizione del comune di Piedimonte Matese nella provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
