Sparanise comune,Sparanise comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,Fabrizio De Pasquale (Lista CambiAmo Sparanise) dal 19-11-2024
Territorio,Territorio
Coordinate,41°11′N 14°06′E
Altitudine,65 m s.l.m.
Superficie,"18,77 km²"
Abitanti,7 283[1] (30-11-2025)
Densità,"388,01 ab./km²"
Comuni confinanti,"Calvi Risorta, Francolise, Pignataro Maggiore"
Altre informazioni,Altre informazioni
Cod. postale,81056
Prefisso,0823
Fuso orario,UTC+1
Codice ISTAT,061089
Cod. catastale,I885
Targa,CE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 172 GG[3]"
Nome abitanti,sparanisani
Patrono,san Vitaliano
Giorno festivo,16 luglio
Cartografia,Cartografia
Sparanise,Sparanise
Sparanise – MappaPosizione del comune di Sparanise nella provincia di Caserta,Sparanise – MappaPosizione del comune di Sparanise nella provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
