Vitulazio comune,Vitulazio comune.1
,
Vitulazio – VedutaPiazza Riccardo II,Vitulazio – VedutaPiazza Riccardo II
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,Antonio Scialdone (lista civica Amiamo Vitulazio) dal 15-5-2023
Territorio,Territorio
Coordinate,41°10′N 14°13′E
Altitudine,57 m s.l.m.
Superficie,"22,97 km²"
Abitanti,7 731[1] (30-11-2025)
Densità,"336,57 ab./km²"
Comuni confinanti,"Bellona, Camigliano, Capua, Grazzanise, Pastorano, Pignataro Maggiore"
Altre informazioni,Altre informazioni
Cod. postale,"81041, 81050"
Prefisso,0823
Fuso orario,UTC+1
Codice ISTAT,061100
Cod. catastale,M092
Targa,CE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 155 GG[3]"
Nome abitanti,vitulatini
Patrono,"santo Stefano, Maria Santissima dell'Agnena"
Giorno festivo,domenica in albis (domenica dopo Pasqua; festa di Maria Santissima dell'Agnena)
Cartografia,Cartografia
Vitulazio,Vitulazio
Vitulazio – MappaPosizione del comune di Vitulazio nella parte bassa della provincia di Caserta,Vitulazio – MappaPosizione del comune di Vitulazio nella parte bassa della provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
