Pontelatone comune,Pontelatone comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,Alfonso Izzo (lista civica) dal 4-10-2021
Territorio,Territorio
Coordinate,41°12′N 14°15′E
Altitudine,120 m s.l.m.
Superficie,"32,25 km²"
Abitanti,1 518[1] (30-11-2025)
Densità,"47,07 ab./km²"
Frazioni,"Barignano, Funari, Savignano-Casalicchio, Treglia"
Comuni confinanti,"Bellona, Camigliano, Capua, Castel di Sasso, Formicola, Liberi, Roccaromana"
Altre informazioni,Altre informazioni
Cod. postale,81040
Prefisso,0823
Fuso orario,UTC+1
Codice ISTAT,061061
Cod. catastale,G849
Targa,CE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 283 GG[3]"
Nome abitanti,latonesi
Patrono,Maria Santissima dell'Orazione
Cartografia,Cartografia
Pontelatone,Pontelatone
Pontelatone – MappaPosizione del comune di Pontelatone nella provincia di Caserta,Pontelatone – MappaPosizione del comune di Pontelatone nella provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
