Castel Morrone comune,Castel Morrone comune.1
,
Castel Morrone – VedutaSantuario di Castel Morrone,Castel Morrone – VedutaSantuario di Castel Morrone
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,"Cristoforo Villano (lista civica ""SiAmo Castel Morrone"") dal 4-10-2021"
Territorio,Territorio
Coordinate,41°07′N 14°21′E
Altitudine,251 m s.l.m.
Superficie,"25,34 km²"
Abitanti,3 575[1] (30-11-2025)
Densità,"141,08 ab./km²"
Frazioni,"Annunziata, Balzi, Casale, Gradillo, Grottole, Largisi, Pianelli, Sant'Andrea, Torone, San Mauro."
Comuni confinanti,"Caiazzo, Capua, Caserta, Limatola (BN), Piana di Monte Verna"
Altre informazioni,Altre informazioni
Cod. postale,81020
Prefisso,0823
Fuso orario,UTC+1
Codice ISTAT,061026
Cod. catastale,C211
Targa,CE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 549 GG[3]"
Nome abitanti,Morronesi
Patrono,Santa Maria della Misericordia
Giorno festivo,8 settembre
Cartografia,Cartografia
Castel Morrone,Castel Morrone
Castel Morrone – MappaPosizione del comune di Castel Morrone nella provincia di Caserta,Castel Morrone – MappaPosizione del comune di Castel Morrone nella provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
