Giano Vetusto comune,Giano Vetusto comune.1
,
Giano Vetusto – Veduta,Giano Vetusto – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,Antonio Zona (Trasparenza) dal 15-5-2011
Territorio,Territorio
Coordinate,41°12′N 14°12′E
Altitudine,225 m s.l.m.
Superficie,"10,93 km²"
Abitanti,661[1] (30-11-2025)
Densità,"60,48 ab./km²"
Frazioni,Masserie Tabasso
Comuni confinanti,"Calvi Risorta, Camigliano, Formicola, Pastorano, Pignataro Maggiore, Rocchetta e Croce"
Altre informazioni,Altre informazioni
Cod. postale,81042
Prefisso,0823
Fuso orario,UTC+1
Codice ISTAT,061040
Cod. catastale,E011
Targa,CE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 497 GG[3]"
Nome abitanti,gianesi
Patrono,sant'Antonio da Padova
Giorno festivo,penultima domenica di agosto
Cartografia,Cartografia
Giano Vetusto,Giano Vetusto
Giano Vetusto – MappaPosizione del comune di Giano Vetusto nella provincia di Caserta,Giano Vetusto – MappaPosizione del comune di Giano Vetusto nella provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
