San Prisco comune,San Prisco comune.1
,
San Prisco – Veduta,San Prisco – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,Domenico D'Angelo (lista civica Leali) dal 6-6-2016 (2º mandato dal 5-10-2021)
Data di istituzione,1806
Territorio,Territorio
Coordinate,41°05′56.65″N 14°16′35.73″E
Altitudine,48 m s.l.m.
Superficie,"7,79 km²"
Abitanti,12 094[1] (30-11-2025)
Densità,"1 552,5 ab./km²"
Frazioni,nessuna
Comuni confinanti,"Capua, Casagiove, Casapulla, Caserta, Curti, Santa Maria Capua Vetere"
Altre informazioni,Altre informazioni
Cod. postale,81054
Prefisso,0823
Fuso orario,UTC+1
Codice ISTAT,061081
Cod. catastale,I131
Targa,CE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 928 GG[3]"
Nome abitanti,sanprischesi
Patrono,"San Prisco, Santa Matrona"
Giorno festivo,1º settembre
Cartografia,Cartografia
San Prisco,San Prisco
San Prisco – MappaPosizione del comune di San Prisco nella provincia di Caserta,San Prisco – MappaPosizione del comune di San Prisco nella provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
