Castel Campagnano comune,Castel Campagnano comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,Gennaro Marcuccio (lista civica) dal 25-11-2020
Territorio,Territorio
Coordinate,41°11′N 14°27′E
Altitudine,58 m s.l.m.
Superficie,"17,48 km²"
Abitanti,1 417[1] (30-11-2025)
Densità,"81,06 ab./km²"
Frazioni,Squille
Comuni confinanti,"Amorosi (BN), Caiazzo, Dugenta (BN), Limatola (BN), Melizzano (BN), Ruviano"
Altre informazioni,Altre informazioni
Cod. postale,81010
Prefisso,0823
Fuso orario,UTC+1
Codice ISTAT,061023
Cod. catastale,B494
Targa,CE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 158 GG[3]"
Nome abitanti,castel campagnanesi
Patrono,Madonna della Neve
Giorno festivo,5 agosto
Cartografia,Cartografia
Castel Campagnano,Castel Campagnano
Castel Campagnano – MappaPosizione del comune di Castel Campagnano nella provincia di Caserta.,Castel Campagnano – MappaPosizione del comune di Castel Campagnano nella provincia di Caserta.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
