Pietravairano comune,Pietravairano comune.1
,
Pietravairano – Veduta,Pietravairano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,Adriano del Sesto (Il paese domani) dall'11-06-2024
Territorio,Territorio
Coordinate,41°20′N 14°10′E
Altitudine,250 m s.l.m.
Superficie,"33,49 km²"
Abitanti,2 795[1] (30-11-2025)
Densità,"83,46 ab./km²"
Frazioni,San Felice
Comuni confinanti,"Baia e Latina, Pietramelara, Raviscanina, Riardo, Roccaromana, Sant'Angelo d'Alife, Vairano Patenora"
Altre informazioni,Altre informazioni
Cod. postale,81040
Prefisso,0823
Fuso orario,UTC+1
Codice ISTAT,061059
Cod. catastale,G630
Targa,CE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 555 GG[3]"
Nome abitanti,pietravairanesi
Patrono,sant'Eraclio
Giorno festivo,1º settembre
Cartografia,Cartografia
Pietravairano,Pietravairano
Pietravairano – MappaPosizione del comune di Pietravairano nella provincia di Caserta,Pietravairano – MappaPosizione del comune di Pietravairano nella provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
